timestamp,orientation_x,orientation_y,orientation_z,orientation_w,angular_vel_x,angular_vel_y,angular_vel_z,linear_acc_x,linear_acc_y,linear_acc_z
1741261535.1366587,0.568899,-0.00729157,-0.012225849,0.8222843,0.0021305287,-0.075633764,-1.3709952,-1.6938977,0.088585466,5.222951
1741261535.1391098,0.5700141,-0.0071608797,-0.012197321,0.82151324,0.11398328,-0.11611381,-1.358212,-1.6938977,0.088585466,5.222951
1741261535.1407573,0.5711114,-0.0070549618,-0.012139607,0.8207526,0.11078749,-0.0745685,-1.3411678,-0.6631939,-0.40940848,7.892486
1741261535.1430516,0.572207,-0.0069390405,-0.012058455,0.81999135,0.121440135,-0.07669903,-1.3369067,-0.6631939,-0.40940848,7.892486
1741261535.1448405,0.5732834,-0.0067990343,-0.0119751,0.81924146,0.12463593,-0.08841694,-1.3081446,-0.6631939,-0.40940848,7.892486
1741261535.146673,0.574333,-0.006699832,-0.011931854,0.8185075,0.06178533,-0.07030744,-1.2879045,0.08259996,-1.0594343,6.5218053
1741261535.148859,0.5753673,-0.0066135675,-0.011888427,0.8177821,0.06817692,-0.053263217,-1.2644688,0.08259996,-1.0594343,6.5218053
1741261535.1509728,0.57639694,-0.0065385764,-0.0118425805,0.81705797,0.07243797,-0.051132686,-1.2623382,-0.641646,0.85473,6.685808
1741261535.153227,0.5774276,-0.0064358492,-0.0117758205,0.8163316,0.08628641,-0.062850595,-1.2623382,-0.641646,0.85473,6.685808
1741261535.154909,0.57844305,-0.0063161487,-0.011691862,0.8156145,0.105461165,-0.07030744,-1.2538161,-0.641646,0.85473,6.685808
1741261535.1566594,0.5794555,-0.0061762324,-0.011621464,0.8148978,0.107591696,-0.08628641,-1.2420982,-0.5243302,-0.22864626,7.5668745
1741261535.1589236,0.5804453,-0.006046859,-0.01151901,0.81419545,0.13315804,-0.051132686,-1.209075,-0.5243302,-0.22864626,7.5668745
1741261535.16067,0.58140785,-0.005920501,-0.011402924,0.8135109,0.15020227,-0.04261057,-1.1749865,-0.18674773,-1.4101849,8.061277
1741261535.1628067,0.58233553,-0.005805591,-0.011306933,0.8128493,0.11824434,-0.040480044,-1.1302454,-0.18674773,-1.4101849,8.061277
